CircFlow,FRate,FDensity,SMSpeed,BDepth,BSize,MVis,FPress,DPPress,CPress,FIn,FOut,MRFlow,ActiveGL,ATVolume,RoPen,WoBit,HLoad,WBoPress,BTBR,MPS1,MPS2,MPS3,AMTD,ATMPV,ATMYP,STP,WellDepth
0.9659058,-1.000353,78.54707,-0.005671131,12641.47,12.25,10.00045,6157.125,1727.666,0,0.9531977,1.000353,-0.04715532,-0.07745291,199.0053,20.41607,39640.1,310895.3,6958.373,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9658887,-1.000663,78.54707,-0.005670901,12641.47,12.25,10.00045,6157.125,1727.442,0,0.9531977,1.000663,-0.04746544,-0.07694883,199.0058,20.41525,39648.32,310886.7,6958.394,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9658744,-1.00077,78.54707,-0.005670817,12641.47,12.25,10.00045,6157.125,1727.331,0,0.9531975,1.00077,-0.04757241,-0.07669523,199.0061,20.41494,39652.45,310882.4,6958.4,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9658364,-1.000896,78.54707,-0.005670689,12641.47,12.25,10.00045,6157.125,1727.107,0,0.9531971,1.000896,-0.04769877,-0.07618584,199.0066,20.41448,39660.71,310874.1,6958.408,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9658135,-1.000918,78.54707,-0.005670638,12641.47,12.25,10.00045,6157.125,1726.996,0,0.9531967,1.000918,-0.0477216,-0.07593039,199.0069,20.4143,39664.86,310869.9,6958.409,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9657616,-1.000891,78.54707,-0.005670545,12641.47,12.25,10.00045,6157.125,1726.774,0,0.9531959,1.000891,-0.04769485,-0.07541876,199.0074,20.41396,39673.16,310861.7,6958.406,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9657332,-1.000844,78.54707,-0.005670498,12641.47,12.25,10.00045,6157.125,1726.663,0,0.9531954,1.000844,-0.04764836,-0.07516286,199.0076,20.41379,39677.32,310857.6,6958.402,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9656724,-1.000691,78.54707,-0.005670395,12641.47,12.25,10.00045,6157.125,1726.442,0,0.9531943,1.000691,-0.04749636,-0.07465149,199.0081,20.41342,39685.66,310849.5,6958.391,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9656404,-1.000587,78.54707,-0.005670336,12641.47,12.25,10.00045,6157.125,1726.331,0,0.9531937,1.000587,-0.04739353,-0.07439626,199.0084,20.41321,39689.83,310845.5,6958.383,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9655743,-1.000333,78.54707,-0.005670198,12641.47,12.25,10.00045,6157.125,1726.112,0,0.9531925,1.000333,-0.04714033,-0.07388721,199.0089,20.41271,39698.19,310837.5,6958.365,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9655403,-1.000184,78.54707,-0.005670119,12641.47,12.25,10.00045,6157.125,1726.002,0,0.9531918,1.000184,-0.04699222,-0.07363357,199.0091,20.41243,39702.37,310833.5,6958.354,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9654711,-0.9998486,78.54707,-0.005669936,12641.47,12.25,10.00045,6157.125,1725.784,0,0.9531905,0.9998486,-0.04665814,-0.07312846,199.0096,20.41177,39710.75,310825.6,6958.33,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9654361,-0.9996639,78.54707,-0.005669833,12641.47,12.25,10.00045,6157.125,1725.676,0,0.9531898,0.9996639,-0.04647407,-0.07287715,199.0099,20.4114,39714.94,310821.7,6958.317,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9653655,-0.9992646,78.54707,-0.005669605,12641.47,12.25,10.00045,6157.125,1725.46,0,0.9531884,0.9992646,-0.04607618,-0.07237731,199.0104,20.41058,39723.34,310813.9,6958.289,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.96533,-0.9990517,78.54707,-0.005669479,12641.47,12.25,10.00045,6157.125,1725.352,0,0.9531877,0.9990517,-0.04586395,-0.07212891,199.0107,20.41013,39727.54,310810,6958.273,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9653363,-0.9985826,78.54707,-0.00566921,12641.47,12.25,10.00045,6157.125,1725.139,0,0.953295,0.9985826,-0.04528756,-0.07171728,199.0111,20.40916,39734.38,310802.6,6958.292,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9651331,-0.9992533,78.54707,-0.005669056,12641.47,12.25,10.00045,6157.125,1725.049,0,0.9531162,0.9992533,-0.04613707,-0.07147051,199.0113,20.4086,39738.59,310799,6958.272,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9651341,-0.9985287,78.54707,0,12641.47,12.25,10.00045,6157.127,1724.849,0,0.9531822,0.9985287,-0.0453465,-0.07097878,199.0118,20.40746,39619.87,310791.4,6958.23,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9651082,-0.9982102,78.54707,0,12641.47,12.25,10.00045,6157.127,1724.746,0,0.9531829,0.9982102,-0.04502725,-0.07073456,199.012,20.4058,39619.94,310914.7,6958.21,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9650597,-0.9976025,78.54707,-0.005667394,12641.47,12.25,10.00045,6157.127,1724.537,0,0.9531819,0.9976025,-0.04442056,-0.07025039,199.0125,20.40262,39628.37,310911.3,6958.172,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9650357,-0.9973031,78.54707,-0.005666988,12641.47,12.25,10.00045,6157.127,1724.432,0,0.9531814,0.9973031,-0.0441217,-0.07001047,199.0128,20.40116,39632.59,310907.4,6958.151,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.964986,-0.9967119,78.54707,-0.005666245,12641.47,12.25,10.00045,6157.127,1724.223,0,0.9531805,0.9967119,-0.04353141,-0.06953515,199.0132,20.39848,39641.02,310899.8,6958.11,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9649601,-0.9964177,78.54707,-0.005665901,12641.47,12.25,10.00045,6157.127,1724.119,0,0.95318,0.9964177,-0.04323772,-0.0692998,199.0135,20.39724,39645.24,310896,6958.09,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9649335,-0.996124,78.54707,-0.005665571,12641.47,12.25,10.00045,6157.127,1724.015,0,0.9531795,0.996124,-0.04294448,-0.069066,199.0137,20.39606,39649.45,310892.2,6958.07,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9648786,-0.9955373,78.54707,-0.005664943,12641.47,12.25,10.00045,6157.127,1723.808,0,0.9531785,0.9955373,-0.04235892,-0.06860307,199.0142,20.3938,39657.88,310884.6,6958.029,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9648503,-0.9952445,78.54707,-0.005664638,12641.47,12.25,10.00045,6157.127,1723.705,0,0.9531779,0.9952445,-0.04206661,-0.06837395,199.0144,20.3927,39662.1,310880.8,6958.008,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9648216,-0.9949521,78.54707,-0.005664337,12641.47,12.25,10.00045,6157.127,1723.601,0,0.9531774,0.9949521,-0.0417747,-0.06814639,199.0146,20.39161,39666.31,310877,6957.988,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9647632,-0.9943687,78.54707,-0.005663738,12641.47,12.25,10.00045,6157.127,1723.396,0,0.9531763,0.9943687,-0.04119241,-0.06769595,199.0151,20.38946,39674.74,310869.4,6957.947,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9647336,-0.9940779,78.54707,-0.005663438,12641.47,12.25,10.00045,6157.127,1723.294,0,0.9531757,0.9940779,-0.04090222,-0.06747307,199.0153,20.38838,39678.95,310865.6,6957.927,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9646736,-0.9934987,78.54707,-0.005662831,12641.47,12.25,10.00045,6157.127,1723.09,0,0.9531745,0.9934987,-0.0403242,-0.06703196,199.0157,20.38619,39687.38,310858,6957.886,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9646434,-0.9932104,78.54707,-0.005662524,12641.47,12.25,10.00045,6157.127,1722.988,0,0.9531739,0.9932104,-0.04003655,-0.06681374,199.016,20.38509,39691.59,310854.2,6957.866,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9645824,-0.9926371,78.54707,-0.005661899,12641.47,12.25,10.00045,6157.127,1722.786,0,0.9531727,0.9926371,-0.03946437,-0.06638192,199.0164,20.38284,39700.02,310846.6,6957.826,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9645518,-0.9923521,78.54707,-0.005661581,12641.47,12.25,10.00045,6157.127,1722.685,0,0.9531721,0.9923521,-0.03918,-0.0661683,199.0166,20.38169,39704.23,310842.8,6957.806,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9644904,-0.9917859,78.54707,-0.005660936,12641.47,12.25,10.00045,6157.127,1722.484,0,0.9531709,0.9917859,-0.038615,-0.06574566,199.017,20.37937,39712.65,310835.1,6957.767,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9644596,-0.9915048,78.54707,-0.005660608,12641.47,12.25,10.00045,6157.127,1722.384,0,0.9531703,0.9915048,-0.03833451,-0.06553661,199.0172,20.37819,39716.86,310831.3,6957.747,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.964398,-0.9909469,78.54707,-0.005659945,12641.47,12.25,10.00045,6157.127,1722.184,0,0.953169,0.9909469,-0.03777782,-0.06512303,199.0177,20.3758,39725.27,310823.7,6957.708,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9643671,-0.9906701,78.54707,-0.00565961,12641.47,12.25,10.00045,6157.127,1722.085,0,0.9531685,0.9906701,-0.03750171,-0.06491849,199.0179,20.37459,39729.48,310819.8,6957.688,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9643778,-0.990095,78.54707,-0.005658932,12641.47,12.25,10.00045,6157.127,1721.889,0,0.9532675,0.990095,-0.0368275,-0.06458081,199.0182,20.37215,39736.38,310812.8,6957.689,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9641924,-0.9905293,78.54707,-0.005658579,12641.48,12.25,10.00045,6157.129,1721.806,0,0.9531026,0.9905293,-0.03742663,-0.06437927,199.0184,20.37089,39617.71,310809.2,6957.667,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9642115,-0.9897524,78.54707,-0.005657332,12641.48,12.25,10.00045,6157.129,1721.621,0,0.9531636,0.9897524,-0.03658882,-0.06397931,199.0188,20.3664,39626.14,310924.5,6957.627,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
